"Latitude","Longitude","Address","CBSA.Name"
30.461981,-91.179219,"1061-A Leesville Ave","Baton Rouge, LA"
37.814781,-122.282347,"1100 21st Street","San Francisco-Oakland-Hayward, CA"
35.2401,-80.785683,"1130 EASTWAY DRIVE","Charlotte-Concord-Gastonia, NC-SC"
39.117219,-94.635605,"1210 N. 10TH ST.,JFK RECREATION CENTER","Kansas City, MO-KS"
34.510961,-117.32554,"14306 PARK AVE., VICTORVILLE, CA","Riverside-San Bernardino-Ontario, CA"
42.862531,-71.38014,"150 Pillsbury Rd","Boston-Cambridge-Newton, MA-NH"
46.825425,-100.76821,"1810 N 16TH STREET","Bismarck, ND"
41.3014,-72.902871,"1JAMES STREET","New Haven-Milford, CT"
43.54792,-96.700769,"2001 E 8th St","Sioux Falls, SD"
39.751184,-104.987625,"2105 BROADWAY","Denver-Aurora-Lakewood, CO"
28.596389,-81.3625,"213 S. Denning Ave, Winter Park, FL 32789","Orlando-Kissimmee-Sanford, FL"
32.329111,-90.182722,"232 East Woodrow Wilson Drive","Jackson, MS"
33.6878,-84.2905,"2390-B Wildcat Road, Decatur GA 30034","Atlanta-Sandy Springs-Roswell, GA"
39.12886,-84.50404,"250 WM. HOWARD TAFT","Cincinnati, OH-KY-IN"
38.921847,-77.013178,"2500 1ST STREET, N.W. WASHINGTON DC","Washington-Arlington-Alexandria, DC-VA-MD-WV"
